code,start_date,end_date
sh.688153,2022-04-14,2022-05-31
sz.300224,2024-11-06,2024-12-18
sz.300275,2024-01-16,2024-03-06
sz.002587,2021-12-17,2022-02-07
sh.601388,2022-04-19,2022-06-06
sz.300757,2024-03-22,2024-05-10
sz.300741,2022-01-18,2022-03-08
sz.300301,2024-01-22,2024-03-12
sh.600428,2021-09-28,2021-11-16
sz.002915,2024-01-18,2024-03-08
sz.300575,2024-01-24,2024-03-14
sz.301258,2022-03-31,2022-05-19
sh.603871,2022-03-01,2022-04-14
sz.300844,2024-05-20,2024-07-02
sz.000698,2021-09-17,2021-11-09
sh.688787,2023-03-01,2023-04-13
sz.002390,2022-04-06,2022-05-23
sz.300803,2021-01-21,2021-03-11
sz.000518,2024-04-03,2024-05-22
sz.002048,2021-03-31,2021-05-18
sh.688589,2024-03-29,2024-05-17
sz.301128,2022-01-12,2022-03-02
sz.300686,2024-01-16,2024-03-06
sz.301315,2024-06-20,2024-08-01
sz.300063,2022-01-17,2022-03-07
sz.300866,2021-07-07,2021-08-18
sz.002100,2024-03-29,2024-05-17
sh.688385,2024-08-13,2024-09-26
sz.301328,2024-03-21,2024-05-09
sz.000708,2021-09-10,2021-11-02
sz.300984,2024-01-08,2024-02-27
sh.600698,2022-01-12,2022-03-02
sh.688639,2024-05-24,2024-07-08
sz.002555,2023-08-29,2023-10-18
sh.603188,2024-01-16,2024-03-06
sh.603866,2021-08-16,2021-09-29
sz.002640,2024-05-23,2024-07-05
sh.605050,2022-08-18,2022-09-30
sz.300969,2024-10-08,2024-11-19
sz.300013,2024-01-26,2024-03-18
sz.300493,2024-01-25,2024-03-15
sz.002037,2022-02-23,2022-04-08
sz.002626,2022-04-11,2022-05-26
sz.002928,2024-01-18,2024-03-08
sz.300769,2024-03-13,2024-04-26
sz.300667,2024-01-18,2024-03-08
sz.300274,2021-02-04,2021-03-25
sz.300313,2024-01-23,2024-03-13
sz.300530,2021-01-11,2021-03-01
sz.300766,2021-07-13,2021-08-24
sz.300655,2021-01-22,2021-03-12
sh.603505,2021-09-23,2021-11-11
sh.603088,2021-11-30,2022-01-12
sz.002628,2024-01-22,2024-03-12
sh.688314,2021-07-15,2021-08-26
sz.000788,2024-01-19,2024-03-11
sh.600785,2022-05-10,2022-06-22
sh.600203,2023-04-14,2023-05-31
sz.300101,2024-01-16,2024-03-06
sz.002935,2024-01-17,2024-03-07
sh.600682,2024-05-27,2024-07-09
sz.300709,2021-07-14,2021-08-25
sz.300715,2024-01-17,2024-03-07
sz.300697,2021-09-22,2021-11-10
sz.000514,2023-08-29,2023-10-18
sz.300670,2024-01-25,2024-03-15
sz.300572,2024-04-08,2024-05-23
sz.002456,2022-04-13,2022-05-30
sh.601999,2021-05-28,2021-07-12
sz.002845,2023-07-26,2023-09-06
sz.002675,2022-01-14,2022-03-04
