code,start_date,end_date
sz.300470,2021-03-31,2021-05-18
sz.000683,2021-10-21,2021-12-02
sh.600499,2022-03-30,2022-05-18
sh.600716,2022-09-19,2022-11-07
sz.002278,2021-01-21,2021-03-11
sz.300803,2024-11-11,2024-12-23
sh.605288,2022-02-23,2022-04-08
sz.003021,2024-01-10,2024-02-29
sz.003039,2021-04-15,2021-06-01
sh.688150,2024-01-24,2024-03-14
sz.300319,2021-01-22,2021-03-12
sz.002666,2024-01-24,2024-03-14
sz.300077,2021-07-29,2021-09-09
sh.688321,2024-11-12,2024-12-24
sz.002670,2021-01-20,2021-03-10
sh.603680,2024-01-22,2024-03-12
sz.300487,2021-01-22,2021-03-12
sh.603078,2021-09-15,2021-11-05
sz.300207,2022-02-24,2022-04-11
sz.301141,2024-04-09,2024-05-24
sh.600785,2024-04-29,2024-06-14
sz.002180,2024-11-12,2024-12-24
sz.000778,2022-04-07,2022-05-24
sz.002829,2024-01-22,2024-03-12
sz.002442,2024-01-16,2024-03-06
sh.603061,2024-01-18,2024-03-08
sh.605589,2021-09-08,2021-10-29
sz.002198,2022-04-14,2022-05-31
sz.300153,2021-08-18,2021-10-08
sh.605111,2024-01-26,2024-03-18
sh.603893,2022-04-19,2022-06-06
sh.605168,2022-10-14,2022-11-25
sh.688026,2021-03-12,2021-04-26
sh.603326,2024-01-19,2024-03-11
sz.002864,2024-01-17,2024-03-07
sh.688660,2024-04-03,2024-05-22
sh.600989,2022-04-11,2022-05-26
sz.300177,2024-04-01,2024-05-20
sh.603238,2021-04-22,2021-06-08
sz.001217,2022-08-19,2022-10-10
sh.603108,2023-12-08,2024-01-22
sz.000823,2023-04-12,2023-05-29
sh.605006,2024-01-24,2024-03-14
sh.600230,2021-03-15,2021-04-27
sz.002390,2022-07-01,2022-08-12
sh.688626,2022-01-07,2022-02-25
sh.600082,2024-03-29,2024-05-17
sz.000520,2024-06-04,2024-07-17
sz.002184,2022-08-23,2022-10-12
sh.603261,2022-08-22,2022-10-11
sz.301228,2023-09-04,2023-10-24
sz.300201,2024-03-29,2024-05-17
sz.300759,2021-12-07,2022-01-19
sh.605108,2024-09-30,2024-11-18
sh.688517,2022-03-23,2022-05-11
sh.603118,2021-01-21,2021-03-11
sh.688569,2023-07-28,2023-09-08
sz.300281,2024-04-02,2024-05-21
sh.603231,2024-01-16,2024-03-06
sz.300884,2024-04-02,2024-05-21
sz.002248,2023-09-28,2023-11-17
sh.688055,2022-04-13,2022-05-30
sh.600228,2023-06-19,2023-08-02
sh.600503,2023-05-18,2023-07-03
sz.300942,2022-12-13,2023-02-01
sh.600540,2021-10-12,2021-11-23
sh.688662,2023-06-28,2023-08-09
sz.300383,2022-04-20,2022-06-07
sh.688369,2024-04-03,2024-05-22
sz.300263,2021-09-23,2021-11-11
sz.300825,2024-04-03,2024-05-22
sh.603505,2022-03-02,2022-04-15
sz.300167,2024-04-12,2024-05-30
sz.300949,2022-04-13,2022-05-30
sh.603214,2022-10-18,2022-11-29
sh.600229,2023-12-12,2024-01-24
sh.688256,2021-07-09,2021-08-20
sz.002912,2022-01-13,2022-03-03
sh.600231,2024-05-31,2024-07-15
sh.600243,2021-09-14,2021-11-04
sh.688233,2021-01-26,2021-03-16
sh.600362,2021-06-01,2021-07-14
sz.002683,2024-01-19,2024-03-11
sh.605338,2023-04-10,2023-05-25
sh.600848,2021-07-16,2021-08-27
sz.300476,2021-01-18,2021-03-08
sz.300957,2023-10-11,2023-11-22
sh.688579,2023-06-28,2023-08-09
sz.000902,2022-04-08,2022-05-25
sz.300846,2023-12-12,2024-01-24
sz.002529,2022-03-17,2022-05-05
sh.688312,2022-04-19,2022-06-06
sz.300837,2022-03-01,2022-04-14
sz.300412,2022-04-11,2022-05-26
sh.605155,2024-01-22,2024-03-12
sh.688680,2023-02-27,2023-04-11
sz.301015,2022-04-08,2022-05-25
sz.002515,2024-01-25,2024-03-15
sz.300343,2022-02-23,2022-04-08
sh.600725,2024-07-23,2024-09-03
sh.600121,2021-03-17,2021-04-29
sz.300132,2022-04-11,2022-05-26
